1880,1246
1880,1242
1879,1242
1880,1239
1880,1236
1879,1233
1880,1228
1880,1226
1879,1223
1879,1219
1880,1218
1879,1216
1879,1211
1879,1209
1880,1205
1880,1201
1879,1199
1879,1197
1880,1194
1879,1192
1879,1187
1879,1185
1880,1181
1880,1177
1879,1178
1879,1173
1880,1170
1879,1167
1880,1164
1880,1160
1880,1156
1879,1154
1879,1151
1880,1149
1879,1146
1880,1142
1879,1140
1880,1136
1880,1132
1880,1133
1880,1129
1879,1126
1879,1122
1880,1117
1880,1115
1880,1112
1879,1108
1880,1107
1880,1104
1879,1101
1880,1098
1880,1094
1880,1090
1880,1088
1880,1085
1880,1083
1879,1081
1879,1076
1880,1073
1880,1069
1879,1066
1879,1064
1880,1062
1879,1058
1880,1057
1880,1053
1880,1048
1880,1046
1880,1043
1880,1040
1880,1038
1880,1035
1880,1031
1880,1027
1880,1025
1879,1021
1880,1020
1880,1017
1880,1014
1880,1011
1880,1008
1880,1003
1880,1002
1879,998
1880,996
1880,993
1880,990
1880,987
1880,982
1880,981
1880,975
1880,974
1879,971
1880,969
1879,964
1880,962
1880,959
1880,956
1880,954
1880,949
1880,946
1880,944
1880,941
1880,937
1880,936
1879,930
1880,929
1880,928
1880,923
1880,921
1880,917
1880,915
1880,911
1880,909
1880,906
1880,903
1879,900
1880,896
1879,894
1880,890
1880,887
1880,884
1880,882
1880,878
1880,876
1880,870
1880,871
1880,868
1880,865
1879,861
1880,858
1880,856
1880,851
1880,850
1880,846
1880,843
1880,839
1880,837
1880,834
1880,831
1880,828
1880,825
1879,823
1880,820
1880,817
1880,813
1880,811
1880,807
1880,805
1880,801
1880,799
1880,796
1880,793
1879,789
1880,788
1880,784
1880,781
1880,779
1880,774
1880,772
1880,767
1880,766
1880,762
1880,759
1879,757
1880,754
1879,751
1880,748
1880,744
1880,741
1880,738
1880,735
1880,733
1880,729
1880,727
1880,723
1880,721
1880,718
1880,715
1880,711
1880,708
1880,705
1880,701
1880,700
1880,695
1880,694
1880,690
1880,687
1880,684
1880,681
1880,678
1880,675
1880,672
1880,669
1880,666
1880,662
1880,662
1880,656
1880,654
1880,652
1880,649
1880,646
1880,643
1880,639
1880,637
1880,633
1880,630
1880,628
1880,624
1880,622
1880,618
1880,616
1880,612
1880,609
1880,606
1880,604
1880,600
1880,597
1880,594
1880,590
1880,588
1881,585
1880,583
1880,580
1880,576
1880,573
1880,570
1880,568
1880,564
1880,562
1880,558
1881,556
1881,552
1880,550
1881,547
1880,544
1880,542
1881,537
1881,536
1881,532
1881,530
1881,527
1881,523
1881,519
1880,518
1881,513
1881,512
1880,508
1881,505
1880,502
1880,500
1881,496
1881,493
1881,490
1881,486
1881,484
1881,479
1881,478
1881,475
1881,472
1880,469
1881,466
1881,464
1881,461
1881,457
1881,454
1881,452
1881,448
1881,446
1881,442
1881,440
1880,437
1881,435
1881,432
1881,428
1881,426
1881,425
1881,425
1881,425
1881,425
1881,425
1881,425
1881,424
1881,425
1881,425
1881,425
1881,425
1881,425
1881,425
1881,425
1881,425
1881,425
1881,425
1881,424
1881,425
1880,425
1881,425
1881,425
1881,425
1881,425
1881,425
1881,425
1881,425
1881,425
1881,425
1881,425
1881,425
1881,425
1881,425
1881,425
1881,425
1881,425
1881,425
1881,425
1881,425
1881,426
1881,425
1881,424
1881,425
1880,425
1881,425
1881,425
1881,426
1881,425
1881,425
1881,425
1881,425
1881,425
1881,425
1881,424
1881,424
1881,425
1881,425
1881,424
1881,425
1881,425
1881,425
1881,425
1881,425
1881,425
1881,425
1881,425
1881,425
1881,424
1881,425
1881,425
1881,425
1881,424
1882,425
1881,425
1881,425
1881,425
1881,425
1881,425
1881,424
1881,425
1881,425
1881,425
1881,424
1881,425
1881,425
1881,425
1881,425
1881,424
1881,425
1881,425
1881,425
1881,425
1881,426
1881,425
1881,425
1881,425
1881,425
1881,425
1881,425
1881,425
1881,425
1881,425
1880,425
1881,425
1881,425
1881,425
1881,425
1881,425
1881,424
1881,425
1881,425
1881,425
1881,425
1881,425
1881,425
1881,425
1881,425
1881,425
1881,425
1881,425
1881,425
1881,425
1881,425
1881,425
1881,425
1881,425
1881,424
1881,425
1881,425
1881,425
1881,425
1881,425
1881,425
1881,425
1881,425
1881,424
1881,425
1881,425
1881,425
1881,425
1881,424
